,Country,White Shark (Y/N),Fatal (Y/N)
783,USA,Other,N
784,USA,Other,N
785,AUSTRALIA,Other,N
786,ITALY,Other,N
787,AUSTRALIA,White Shark,N
790,USA,Other,N
791,MEXICO,Other,N
792,USA,Other,N
793,USA,Other,N
795,USA,White Shark,N
797,USA,White Shark,N
798,USA,Other,N
799,SOUTH AFRICA,White Shark,Y
800,AUSTRALIA,White Shark,N
801,USA,Other,N
802,USA,Other,N
803,AUSTRALIA,White Shark,Y
805,AUSTRALIA,White Shark,N
806,AUSTRALIA,Other,N
807,USA,Other,N
808,USA,Other,N
809,USA,Other,N
811,AUSTRALIA,Other,N
813,USA,Other,N
816,USA,Other,N
817,AUSTRALIA,Other,N
818,SOUTH AFRICA,White Shark,N
820,USA,Other,N
821,AUSTRALIA,Other,N
822,BAHAMAS,Other,N
823,TAIWAN,Other,N
824,AUSTRALIA,White Shark,N
825,SOUTH AFRICA,Other,Y
826,USA,White Shark,N
827,AUSTRALIA,Other,N
828,AUSTRALIA,Other,N
833,USA,Other,N
835,AUSTRALIA,White Shark,N
837,AUSTRALIA,Other,N
842,AUSTRALIA,Other,N
843,USA,White Shark,N
847,USA,White Shark,N
848,SCOTLAND,Other,N
849,SOUTH AFRICA,Other,N
850,AUSTRALIA,White Shark,Y
851,USA,White Shark,N
852,AUSTRALIA,Other,N
853,USA,Other,N
854,USA,Other,N
856,REUNION,Other,N
861,SOUTH AFRICA,White Shark,N
862,USA,Other,N
867,USA,Other,N
869,PAPUA NEW GUINEA,Other,N
871,AUSTRALIA,White Shark,Y
872,USA,Other,N
873,USA,Other,N
879,SOUTH AFRICA,White Shark,Y
881,USA,Other,N
883,RUSSIA,Other,N
884,FRENCH POLYNESIA,Other,N
886,SEYCHELLES,Other,Y
887,USA,Other,N
893,SOUTH AFRICA,White Shark,N
904,SOUTH AFRICA,Other,N
905,USA,Other,N
906,USA,White Shark,N
908,TURKS & CAICOS,Other,N
911,UNITED KINGDOM,White Shark,N
912,USA,Other,N
914,USA,Other,N
915,USA,Other,N
916,MALAYSIA,Other,N
918,SOUTH AFRICA,White Shark,N
919,USA,Other,N
920,USA,Other,N
921,SOUTH AFRICA,Other,Y
923,NEW CALEDONIA,Other,Y
925,USA,Other,N
928,USA,Other,N
929,AUSTRALIA,Other,N
930,USA,Other,N
931,NEW ZEALAND,Other,N
932,INDONESIA,Other,N
934,USA,Other,N
935,MEXICO,Other,N
936,AUSTRALIA,Other,N
939,AUSTRALIA,Other,N
942,AUSTRALIA,Other,N
943,NEW CALEDONIA,Other,N
945,AUSTRALIA,White Shark,Y
946,AUSTRALIA,Other,N
950,MEXICO,Other,N
952,BAHAMAS,Other,N
956,AUSTRALIA,White Shark,N
957,USA,Other,N
960,EGYPT,White Shark,Y
962,EGYPT,Other,N
963,EGYPT,Other,N
964,EGYPT,White Shark,N
965,EGYPT,White Shark,N
971,AUSTRALIA,White Shark,N
972,AUSTRALIA,White Shark,N
976,USA,Other,N
978,USA,White Shark,Y
980,AUSTRALIA,Other,N
981,BAHAMAS,Other,N
982,BAHAMAS,Other,N
984,USA,White Shark,N
986,SOUTH AFRICA,White Shark,Y
987,AUSTRALIA,Other,N
988,USA,Other,N
996,AUSTRALIA,White Shark,Y
997,USA,White Shark,N
1002,MALTA,Other,N
1004,USA,White Shark,N
1005,USA,Other,N
1006,USA,Other,N
1008,USA,Other,N
1009,USA,Other,N
1010,USA,Other,N
1011,SPAIN,Other,N
1013,USA,Other,N
1015,USA,Other,N
1016,USA,Other,N
1017,USA,Other,N
1018,USA,Other,N
1021,VIETNAM,Other,N
1022,USA,Other,N
1025,USA,Other,N
1026,VIETNAM,Other,N
1027,VIETNAM,Other,N
1030,USA,Other,N
1031,USA,Other,N
1032,USA,Other,N
